380     2932.48
192     -830.84
379     2338.82
249     3444.99
466      -88.33
466     2702.32
502     -414.31
554      881.21
466     -573.21
466     -723.22
380     -139.22
314     2234.20
356     3282.70
376     2054.66
522      -22.77
482      -56.62
220     -395.45
314     2307.58
266     -510.36
482     3234.38
115     -754.64
135     1388.79
447      661.51
502     -965.05
192     -757.10
155     3999.69
249     -877.12
191     -362.88
573      341.18
431     -705.14
466     3681.81
208     -960.55
192      -36.32
229     -149.29
238     -981.39
466     -245.48
380     -958.72
532     -175.80
143     3684.72
502     2865.84
415     1161.71
282     3512.32
238     -353.76
573     1601.08
300     3545.13
300     3133.61
282     -357.51
502     -133.77
143     2072.37
466     -469.61
482     -302.51
515     2623.84
502     2356.46
356     3313.33
482     -404.72
502     -161.13
211     -804.57
182     2879.25
192     2695.03
532     -133.06
515     2128.98
271      621.07
264     2852.28
135      738.48
522     2637.24
208     -227.66
276     2178.52
380     3662.00
300     2452.39
238     3129.04
332     1200.30
264     3288.57
395     -401.19
271     1636.25
219     -414.79
276     3599.42
155     3400.67
229     2843.24
219     -811.59
115      243.11
447      948.10
395     2463.39
282     2390.41
573     -274.90
276     -900.58
264     -637.58
532     -524.61
219     2828.58
214     3210.39
208      934.60
182     -871.02
264     -950.94
162     -825.38
395     2855.23
220     2269.58
447       42.21
395     -371.09
341     -439.77
341     -643.55
379     -756.21
380     2439.77
532     -703.29
214     3220.67
208     -213.59
431     -402.45
532     -773.59
264     -578.02
264     -291.76
135     -484.24
395     3329.05
482     -871.03
466     3143.38
314     -125.18
482     3199.74
546     3260.36
219      -20.82
155     2492.74
115     1809.94
573     -507.23
522     -261.24
155     3310.54
502      -75.71
554      895.36
191     2112.17
380     -306.48
249      -87.82
431     -421.37
162     -937.98
135      578.81
515     2236.59
220     -404.63
282     2595.25
431     -793.14
192     -582.64
301     2462.46
